project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Mining_Extraction,0.12371,52.99,1.158,0.32493,0.06928,0.75152,0.25113
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,5,Water_Waste,0.03504,5.419,0.598,0.40842,0.02418,0.05676,0.0254
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Construction,22.5,3745.17,192.78,13.095,10.8,29.16,12.24
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Energy_Utilities,7.5,652.08,23.49,7.524,4.8,45.9,7.65
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Manufacturing,16.5,4815.36,83.635,19.8891,6.93,38.016,13.464
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Transport_Logistics,6.0,814.8,42.588,2.69568,3.6,9.072,11.424
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Health_Social,11.25,1125.18,129.762,7.857,7.875,7.29,3.06
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Agriculture,1.5,187.425,22.44,5.0925,1.14,3.024,0.918
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Mining_Extraction,3.75,838.08,16.632,5.184,2.1,12.15,3.57
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,0,Water_Waste,6.0,438.9,50.544,38.352,4.14,5.184,2.04
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Construction,2.90625,483.751,24.901,1.69144,1.395,3.7665,1.581
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Energy_Utilities,5.346,464.803,16.744,5.36311,3.42144,32.71752,5.45292
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Manufacturing,9.04875,2640.787,45.866,10.90736,3.80048,20.84832,7.38378
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Transport_Logistics,3.85125,523.0,27.336,1.73029,2.31075,5.82309,7.33278
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Health_Social,3.66,366.059,42.216,2.55614,2.562,2.37168,0.99552
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Agriculture,1.5195,189.862,22.732,5.1587,1.15482,3.06331,0.92993
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Mining_Extraction,6.96375,1556.315,30.886,9.62669,3.8997,22.56255,6.62949
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,1,Water_Waste,2.082,152.298,17.539,13.30814,1.43658,1.79885,0.70788
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Construction,1.35359,225.308,11.598,0.78779,0.64972,1.75425,0.73635
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Energy_Utilities,2.48178,215.776,7.773,2.48972,1.58834,15.1885,2.53142
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Manufacturing,4.06924,1187.567,20.626,4.90506,1.70908,9.37553,3.3205
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Transport_Logistics,1.80748,245.456,12.83,0.81207,1.08449,2.73291,3.44144
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Health_Social,1.47231,147.255,16.982,1.02826,1.03062,0.95406,0.40047
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Agriculture,0.77428,96.747,11.583,2.62869,0.58846,1.56096,0.47386
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Mining_Extraction,3.50626,783.607,15.551,4.84706,1.96351,11.36029,3.33796
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,2,Water_Waste,0.99797,73.001,8.407,6.379,0.6886,0.86224,0.33931
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Construction,0.62449,103.948,5.351,0.36345,0.29976,0.80934,0.33972
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Energy_Utilities,1.16242,101.065,3.641,1.16614,0.74395,7.11401,1.18567
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Manufacturing,1.91715,559.502,9.718,2.31094,0.8052,4.41712,1.5644
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Transport_Logistics,0.84425,114.649,5.992,0.3793,0.50655,1.2765,1.60745
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Health_Social,0.67287,67.297,7.761,0.46993,0.47101,0.43602,0.18302
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Agriculture,0.36015,45.001,5.388,1.22271,0.27371,0.72606,0.22041
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Mining_Extraction,1.6293,364.129,7.226,2.25235,0.91241,5.27894,1.55109
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3,Water_Waste,0.46351,33.906,3.905,2.96278,0.31982,0.40048,0.15759
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Construction,0.29223,48.643,2.504,0.17008,0.14027,0.37873,0.15897
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Energy_Utilities,0.5421,47.133,1.698,0.54384,0.34695,3.31767,0.55294
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Manufacturing,0.89353,260.767,4.529,1.07706,0.37528,2.05869,0.72912
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Transport_Logistics,0.3937,53.464,2.794,0.17688,0.23622,0.59527,0.7496
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Health_Social,0.313,31.305,3.61,0.2186,0.2191,0.20282,0.08514
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Agriculture,0.16765,20.948,2.508,0.56918,0.12742,0.33799,0.1026
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Mining_Extraction,0.76248,170.405,3.382,1.05405,0.42699,2.47043,0.72588
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,4,Water_Waste,0.21614,15.811,1.821,1.38159,0.14914,0.18675,0.07349
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Construction,0.13634,22.695,1.168,0.07935,0.06545,0.1767,0.07417
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Energy_Utilities,0.25301,21.998,0.792,0.25382,0.16193,1.54842,0.25807
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Manufacturing,0.41726,121.774,2.115,0.50297,0.17525,0.96138,0.34049
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Transport_Logistics,0.18373,24.95,1.304,0.08254,0.11024,0.27779,0.34981
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Health_Social,0.14601,14.603,1.684,0.10197,0.10221,0.09461,0.03971
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Agriculture,0.07815,9.765,1.169,0.26532,0.05939,0.15755,0.04783
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Mining_Extraction,0.35581,79.52,1.578,0.49188,0.19926,1.15284,0.33874
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,5,Water_Waste,0.10082,7.375,0.849,0.64446,0.06957,0.08711,0.03428
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Construction,11.4,3405.864,226.951,13.71192,5.472,27.702,13.224
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Energy_Utilities,3.0,953.04,19.314,5.643,1.92,34.425,6.525
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Manufacturing,9.6,4832.87,102.728,21.45024,4.032,41.472,16.704
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,0,Transport_Logistics,2.1,470.547,28.283,1.71763,1.26,5.9535,8.526
