model,scenario,year,project_id,asset_class,region,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$
OSeMOSYS,SSP4-6.0,2025.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,19.8297426,1.23282,0.14664359536378907,0.10938360000000001
OSeMOSYS,SSP4-6.0,2030.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,12649.8890182,812.4588918999999,81.86420474815881,32.126786307
OSeMOSYS,SSP4-6.0,2030.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,49281.680981,3954.5606528,341.2413537291175,169.99484062699997
OSeMOSYS,SSP4-6.0,2030.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,281.41901559999997,31.7235226,1.928922216386662,2.394396881
OSeMOSYS,SSP4-6.0,2030.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,94894.0238246,6272.8419098,602.3029458161055,291.366305314
OSeMOSYS,SSP4-6.0,2030.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,9892.9246132,692.063997,72.0844901988538,26.742006141999997
OSeMOSYS,SSP4-6.0,2030.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,9161.4454454,1210.3650165,77.30391547383488,89.637448256
OSeMOSYS,SSP4-6.0,2030.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,270700.0945718,31427.215639299997,1965.8826594362286,2388.2699122219997
OSeMOSYS,SSP4-6.0,2030.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,14.9487672,1.8755194,0.1330280636164101,0.166296232
OSeMOSYS,SSP4-6.0,2030.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,10.348533,1.2974926999999998,0.09211503113996951,0.11501288999999999
OSeMOSYS,SSP4-6.0,2040.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,6314.5902316,884.6629254,48.94525613840453,34.968368334
OSeMOSYS,SSP4-6.0,2040.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,18528.217715600003,4325.3498724,171.7119021341788,185.866758678
OSeMOSYS,SSP4-6.0,2040.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,93.6194862,33.8462645,0.9058852036009075,2.552859709
OSeMOSYS,SSP4-6.0,2040.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,47313.4103838,6652.6917189,342.1811128345004,309.012151022
OSeMOSYS,SSP4-6.0,2040.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,4940.4518045,753.579976,43.13381483755764,29.108324216999996
OSeMOSYS,SSP4-6.0,2040.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,3048.2037328,1291.1523523,36.2313611564332,95.56105190299999
OSeMOSYS,SSP4-6.0,2040.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,90060.3376191,33528.9620283,922.5847879685048,2546.257884366
OSeMOSYS,SSP4-6.0,2040.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,4.9771507999999995,2.000959,0.062360248459191615,0.177271434
OSeMOSYS,SSP4-6.0,2040.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,3.4455432,1.3842603,0.04318239481302783,0.122603673
OSeMOSYS,SSP5-8.5,2025.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,15264.862085300001,740.5134342,103.171131736801,29.240453942
OSeMOSYS,SSP5-8.5,2025.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,68063.04251279999,3377.0900972,526.6926046892784,145.20036671
OSeMOSYS,SSP5-8.5,2025.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,722.7668817,27.2887229,4.217615043948289,2.059202741
OSeMOSYS,SSP5-8.5,2025.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,142372.8864712,5809.0450277,879.6854196274454,269.65264895
OSeMOSYS,SSP5-8.5,2025.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,11930.8284208,630.9088504,90.69999390323177,24.345887113
OSeMOSYS,SSP5-8.5,2025.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,23521.4716666,1041.1002075,170.0025102948717,77.085734687
OSeMOSYS,SSP5-8.5,2025.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,695127.0134338,27033.6048123,4307.217015612725,2053.907236646
OSeMOSYS,SSP5-8.5,2025.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,38.3264345,1.6132206,0.2923947658705482,0.143005138
OSeMOSYS,SSP5-8.5,2025.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,26.5313354,1.1162259,0.2024624442335418,0.09890391300000001
OSeMOSYS,SSP5-8.5,2030.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,10031.747238,820.3910672,72.54625868604424,32.322616324
OSeMOSYS,SSP5-8.5,2030.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,80512.46873960001,3394.4212748,539.7214857679851,145.96335262399998
OSeMOSYS,SSP5-8.5,2030.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,665.7759654,27.535138,3.974843706262234,2.076983476
OSeMOSYS,SSP5-8.5,2030.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,98662.3201882,6176.8248128000005,635.7743241392825,286.59573670000003
OSeMOSYS,SSP5-8.5,2030.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,7829.1450537,699.1822036,63.60518388299546,26.923130944
OSeMOSYS,SSP5-8.5,2030.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,21668.0887394,1050.4069916,160.1761973672044,77.746869408
OSeMOSYS,SSP5-8.5,2030.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,640333.8286369,27277.286696,4058.9242595491764,2071.605964244
OSeMOSYS,SSP5-8.5,2030.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,35.314762,1.62769,0.27549833927601036,0.144223948
OSeMOSYS,SSP5-8.5,2030.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,24.4468238,1.126462,0.190758788326928,0.099745848
OSeMOSYS,SSP5-8.5,2040.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,3853.8245220999997,915.1853306,36.191724353163096,36.044398427000004
OSeMOSYS,SSP5-8.5,2040.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,37012.3191583,4023.0002855999996,289.6170229532055,172.74237308
OSeMOSYS,SSP5-8.5,2040.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,457.2030408,29.3844172,2.9389853682765392,2.209849835
OSeMOSYS,SSP5-8.5,2040.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,43401.0829313,6654.6883151,327.14006299799036,308.69877984
OSeMOSYS,SSP5-8.5,2040.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,3003.7782471,779.8974261000001,31.682705573880202,30.021140680000002
OSeMOSYS,SSP5-8.5,2040.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,14877.713389,1120.1768706,118.8636661715757,82.686817577
OSeMOSYS,SSP5-8.5,2040.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,439699.6959451,29104.8131127,3005.022511951995,2203.859858436
OSeMOSYS,SSP5-8.5,2040.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,24.2324144,1.7367336000000002,0.20437509417028293,0.15333317800000001
OSeMOSYS,SSP5-8.5,2040.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,16.7747038,1.2018827,0.14151189652566315,0.106047021
